事件活动1
事故 accident
住宿 accommodation
提前 advance
砰 bang
开始 beginning
繁荣 boom
打扰 bother
打破 break
活动 campaign
案例 case
原因 cause
庆祝活动 celebration
改变 change
单击 click
竞赛 contest
崩溃 crash
损害 damage
死亡 death
失败 defeat
讨论 discuss
做 do
紧急情况 emergency
爆炸 explosion
因素 factor
决赛 final
火 fire
闪光 flash
流量 flow
正式的 formal
基本的 fundamental
葬礼 funeral
影响 impact
改进 improvement
事件 incident
不可避免的 inevitable
实例 instance
跳跃 jump
敲门 knock
见面 meet
噪音 noise
场合 occasion
结果 outcome
种族 race
恢复 recovery
重复 repeat
革命 revolution
奖励 reward
上升 rise
卷 roll
寻找 seek
转变 shift
旋转 spin
传播 spread
开始 start
停止 stop
成功 success
点击 tap
时间 time
触摸 touch
扭转 twist
