人物职业1
学术的 academic
积极分子 activist
演员 actor
成人 adult
顾问 adviser
分析师 analyst
古代的 ancient
建筑师 architect
艺术家 artist
助理 assistant
同事 associate
律师 attorney
阿姨 aunt
作者 author
宝贝 baby
开始 begin
家伙 bloke
金发女郎 blonde
出生 born
老板 boss
男孩 boy
男朋友 boyfriend
勇敢的 brave
广泛 broad
兄弟 brother
伙伴 buddy
屠夫 butcher
买家 buyer
计算器 calculator
候选人 candidate
队长 captain
主席 chairman
冠军 champion
小伙子 chap
性格 character
化学家 chemist
酋长 chief
孩子 child
公民 citizen
职员 clerk
客户 client
教练 coach
同事 colleague
消费者 consumer
当代的 contemporary
转换 convert
厨师 cook
表弟 cousin
疯狂的 crazy
罪犯 criminal
批评家 critic
顾客 customer
爸爸 dad
爸爸 daddy
亲爱的 darling
女儿 daughter
经销商 dealer
亲爱的 dear
牙医 dentist
依赖的 dependent
