人物职业2
设计师 designer
绝望的 desperate
魔鬼 devil
导演 director
医生 doctor
国内 domestic
司机 driver
喝醉了 drunk
干 dry
老兄 dude
编辑 editor
员工 employee
雇主 employer
工程师 engineer
平等 equal
民族的 ethnic
行政人员 executive
专家 expert
额外的 extra
熟悉的 familiar
农民 farmer
父亲 father
最喜欢的 favourite
联邦的 federal
同胞 fellow
前进 forward
朋友 friend
炒 fry
同性恋 gay
一般 general
绅士 gentleman
女孩 girl
女朋友 girlfriend
上帝 god
州长 governor
爷爷 grandad
祖父 grandfather
奶奶 grandma
祖母 grandmother
爷爷 grandpa
奶奶 granny
太棒了 great
灰色 grey
守卫 guard
客人 guest
指南 guide
家伙 guy
方便 handy
有 have
重 heavy
英雄 hero
雇用 hire
历史学家 historian
主机 host
狩猎 hunt
丈夫 husband
白痴 idiot
独立的 independent
婴儿 infant
无辜的 innocent
