人物职业3
检查员 inspector
知识分子 intellectual
记者 journalist
法官 judge
毛衣 jumper
初级 junior
孩子 kid
国王 king
小伙子 lad
女士 lady
房东 landlord
律师 lawyer
领导者 leader
自由主义 liberal
主 lord
可爱的 lovely
情人 lover
女士 madam
专业 major
男人 man
经理 manager
已婚 married
大师 master
伴侣 mate
会员 member
部长 minister
未成年人 minor
想念 miss
现代的 modern
妈妈 mom
妈妈 mommy
监视器 monitor
更多 more
妈妈 mother
木乃伊 mummy
国家的 national
本地人 native
自然的 natural
邻居 neighbour
没有人 nobody
护士 nurse
官员 officer
官方 official
对手 opponent
普通的 ordinary
业主 owner
家长 parent
合伙人 partner
乘客 passenger
病人 patient
飞行员 pilot
玩家 player
诗人 poet
警察 policeman
政治家 politician
流行音乐 pop
总统 president
牧师 priest
王子 prince
公主 princess
