人物职业4
打印机 printer
先前的 prior
囚犯 prisoner
私人的 private
制片人 producer
专业的 professional
教授 professor
瞳孔 pupil
读者 reader
常规的 regular
亲戚 relative
宗教的 religious
记者 reporter
代表 representative
居民 resident
撕裂 rip
对手 rival
一样 same
科学家 scientist
螺丝 screw
秘书 secretary
高级 senior
敏感的 sensitive
仆人 servant
愚蠢的 silly
歌手 singer
先生 sir
妹妹 sister
士兵 soldier
律师 solicitor
儿子 son
灵魂 soul
扬声器 speaker
专家 specialist
精神 spirit
发言人 spokesman
稳定 steady
僵硬的 stiff
直 straight
陌生人 stranger
学生 student
愚蠢的 stupid
超级 super
支持者 supporter
嫌疑人 suspect
甜甜的 sweet
铲球 tackle
教 teach
老师 teacher
告诉 tell
暂时的 temporary
恐怖分子 terrorist
强硬 tough
游客 tourist
拖车 trailer
教练员 trainer
叔叔 uncle
不幸的 unfortunate
用户 user
兽医 vet
