变化发展
适应 adapt
调整 adjust
改变 alter
烘烤 bake
成为 become
沸腾 boiling
完成 complete
复杂的 complicated
限制 confine
正确 correct
下降 decline
防御 defence
消失 disappear
转储 dump
出现 emerge
启用 enable
增强 enhance
延长 extend
反馈 feedback
固定的 fixed
冻结 freeze
成长 grow
成长 growth
发生 happen
供暖 heating
改善 improve
并入 incorporate
通货膨胀 inflation
机制 mechanism
混合的 mixed
发生 occur
准备 prepare
准备好了 prepared
反应 reaction
减少 reduce
强化 reinforce
留下来 remain
剩余 remaining
替换 replace
限制 restrict
慢 slow
加强 strengthen
薄 thin
变换 transform
向上 up
变化 vary
温暖 warm
