地点场所1
好的 OK
面积 area
击败 beat
边界 border
底部 bottom
中心 centre
城市 city
常见的 common
角落 corner
乡村 countryside
县 county
沙漠 desert
挖 dig
方向 direction
区 district
市中心 downtown
边缘 edge
帝国 empire
结束 end
领域 field
前面 front
天堂 heaven
地狱 hell
这里 here
神圣的 holy
家 home
里面 inside
风景 landscape
左 left
我 me
中 middle
邻里 neighbourhood
不错 nice
北 north
打开 open
或 or
起源 origin
外面 outside
公园 park
地方 place
港口 port
位置 position
帖子 post
达到 reach
地区 region
度假村 resort
粗糙 rough
路线 route
场景 scene
座位 seat
看到 see
设置 setting
侧面 side
站点 site
某处 somewhere
来源 source
南 south
现货 spot
状态 state
环绕 surround
