属性特征1
放弃 abandon
能力 ability
访问 access
优势 advantage
年龄 age
援助 aid
外观 appearance
权威 authority
背景 background
坏 bad
美丽 beauty
更好 better
黑色 black
蓝色 blue
弹跳 bounce
棕色 brown
建造 build
冷静 calm
容量 capacity
抓住 catch
承诺 commitment
比较 compare
浓度 concentration
控制 control
酷 cool
勇气 courage
学位 degree
深度 depth
差异 difference
维度 dimension
距离 distance
由于 due
轻松 ease
表达 expression
极端 extreme
时尚 fashion
完成 finish
力 force
间隙 gap
给予 give
好 good
善良 goodness
货物 goods
绿色 green
高度 height
高 high
身份 identity
重要性 importance
影响力 influence
倡议 initiative
正义 justice
大 large
铅 lead
精益 lean
长度 length
水平 level
限制 limit
看看 look
多数 majority
方式 manner
