情感心理
佩服 admire
影响 affect
警报 alarm
野心 ambition
愤怒 anger
惹恼 annoy
欣赏 appreciate
无聊 bored
欲望 desire
尽管 despite
失望 disappoint
失望 disappointed
打扰 disturb
尴尬 embarrassed
情感 emotion
享受 enjoy
热情 enthusiasm
兴奋 excitement
令人兴奋的 exciting
青睐 favour
恐惧 fear
害怕 frightened
温柔的 gentle
讨厌 hate
希望 hope
恐怖 horror
有兴趣 interested
有趣的 interesting
喜悦 joy
长 long
爱 love
心情 mood
恐慌 panic
激情 passion
可惜 pity
请 please
高兴 pleased
快乐 pleasure
更喜欢 prefer
偏好 preference
骄傲 pride
遗憾 regret
救济 relief
辞职 resignation
满意 satisfaction
害怕 scared
耻辱 shame
震惊 shock
震惊 shocked
令人震惊的 shocking
恶意 spite
惊喜 surprise
恐怖 terror
愿望 wish
想知道 wonder
担心 worried
