描述形容1
能够 able
关于 about
国外 abroad
可以接受 acceptable
准确 accurate
实际的 actual
额外的 additional
足够的 adequate
行政 administrative
害怕 afraid
之后 after
侵略性的 aggressive
前 ago
前面 ahead
活着 alive
全部 all
好吧 all right
独自一人 alone
生气 angry
另一个 another
着急的 anxious
任何 any
分开 apart
明显的 apparent
人工的 artificial
羞愧 ashamed
睡着了 asleep
有吸引力的 attractive
可用 available
意识到 aware
离开 away
太糟糕了 awful
尴尬的 awkward
美丽的 beautiful
事先 beforehand
大 big
两者 both
明亮 bright
辉煌的 brilliant
有能力的 capable
小心 careful
某些 certain
便宜 cheap
民事 civil
聪明 clever
舒适 comfortable
有竞争力的 competitive
自信的 confident
有意识的 conscious
相当大的 considerable
一致的 consistent
连续的 continuous
方便 convenient
常规的 conventional
创意 creative
批评的 critical
至关重要的 crucial
残酷的 cruel
文化的 cultural
好奇 curious
