描述形容2
可爱 cute
愚蠢的 daft
危险的 dangerous
体面的 decent
明确的 definite
民主的 democratic
不同的 different
困难 difficult
遥远的 distant
独特的 distinct
楼下 downstairs
戏剧性的 dramatic
愚蠢的 dumb
每个 each
早 early
东部 eastern
容易 easy
经济的 economic
教育性的 educational
有效的 effective
高效 efficient
电气 electrical
电子的 electronic
情绪化的 emotional
令人愉快的 enjoyable
巨大的 enormous
热情的 enthusiastic
环境 environmental
每个 every
优秀的 excellent
昂贵 expensive
实验性的 experimental
广泛的 extensive
非凡的 extraordinary
假的 false
著名的 famous
太棒了 fantastic
肮脏的 filthy
金融 financial
外国的 foreign
幸运的 fortunate
新鲜的 fresh
慷慨 generous
正品 genuine
全球 global
金色 golden
华丽的 gorgeous
感恩的 grateful
有罪 guilty
半途 halfway
快乐 happy
硬 hard
健康的 healthy
有帮助的 helpful
历史的 historical
诚实的 honest
无望的 hopeless
可怕的 horrible
热 hot
巨大的 huge
