描述形容3
饿了 hungry
非法的 illegal
立即的 immediate
重要的 important
令人印象深刻 impressive
难以置信 incredible
工业 industrial
非正式的 informal
内在的 inner
智能的 intelligent
激烈的 intense
内部 internal
只是 just
迟到了 late
后来 later
懒惰 lazy
合法的 legal
少 less
可能 likely
文学的 literary
活泼的 lively
逻辑的 logical
孤独 lonely
长期的 long-term
大声 loud
幸运的 lucky
疯狂的 mad
许多 many
奇妙的 marvellous
巨大的 massive
中世纪的 medieval
心理的 mental
凌乱的 messy
大多数 most
裸体 naked
讨厌的 nasty
顽皮的 naughty
附近 nearby
整齐 neat
两者都不是 neither
紧张 nervous
新的 new
下一个 next
吵闹的 noisy
核 nuclear
众多 numerous
明显的 obvious
偶尔的 occasional
奇数 odd
上 on
仅 only
其他 other
否则 otherwise
杰出的 outstanding
海外 overseas
和平的 peaceful
物理的 physical
愉快的 pleasant
有礼貌 polite
政治的 political
