描述形容4
流行的 popular
强大的 powerful
实用的 practical
精确的 precise
怀孕了 pregnant
漂亮 pretty
上一个 previous
适当的 proper
骄傲 proud
心理的 psychological
纯粹的 pure
罕见的 rare
现实的 realistic
合理的 reasonable
区域性的 regional
相关的 relevant
非凡的 remarkable
住宅 residential
负责的 responsible
可笑 ridiculous
粗鲁的 rude
农村的 rural
悲伤 sad
科学的 scientific
明智的 sensible
严重的 serious
几个 several
严重的 severe
性的 sexual
重要的 significant
沉默的 silent
类似的 similar
所谓的 so-called
软的 soft
一些 some
抱歉 sorry
南部 southern
直截了当 straightforward
奇怪的 strange
战略性的 strategic
严格 strict
强 strong
随后的 subsequent
实质性的 substantial
成功的 successful
这样的 such
突然的 sudden
足够 sufficient
适合的 suitable
当然 sure
可疑的 suspicious
可怕的 terrible
理论的 theoretical
通过 through
紧 tight
微小的 tiny
在一起 together
传统的 traditional
巨大的 tremendous
棘手的 tricky
