未分类词汇1
根据 according to
反对 against
虽然 although
其中 among
和 and
任何人 anybody
任何人 anyone
任何东西 anything
因为 because
在旁边 beside
可以 could
期间 during
彼此 each other
否则 else
大家 everybody
大家 everyone
一切 everything
为了 for
来自 from
天哪 gosh
她 her
她的 hers
她自己 herself
他 him
他自己 himself
他的 his
如何 how
如果 if
进入 into
本身 itself
我的 my
我自己 myself
没有人 no one
没办法 no way
不，不 nope
也不 nor
的 of
彼此 one another
到 onto
应该 ought to
我们的 our
我们的 ours
我们自己 ourselves
点钟 o’clock
每 per
应 shall
她 she
应该 should
自从 since
某事 something
比 than
那个 that
的 the
他们的 their
他们的 theirs
他们 them
他们自己 themselves
他们 they
这个 this
到 to
