状态情况1
缺席 absence
陪伴 accompany
添加 add
总共 altogether
焦虑 anxiety
近似 approximate
出现 arise
气氛 atmosphere
参加 attend
平衡 balance
行为 behaviour
存在 being
咬 bite
煮沸 boil
凹凸 bump
烧伤 burn
癌症 cancer
挑战 challenge
冠军 championship
机会 chance
情况 circumstance
清晰 clear
气候 climate
冷 cold
崩溃 collapse
舒适度 comfort
投诉 complaint
包括 comprise
关心 concerned
关于 concerning
条件 condition
混乱 confusion
组成 consist
构成 constitute
包含 contain
继续 continue
危机 crisis
危险 danger
黑暗 dark
黑暗 darkness
债务 debt
定义 define
依赖 depend
抑郁症 depression
应得的 deserve
不同 differ
灾难 disaster
疾病 disease
划分 divide
占主导地位 dominate
强调 emphasis
雇用 employ
就业 employment
环境 environment
存在 exist
存在 existence
现有的 existing
范围 extent
迷人的 fascinating
适合 fit
