社会组织1
达到 achieve
老年的 aged
代理机构 agency
允许 allow
任命 appoint
军队 army
协会 association
观众 audience
乐队 band
电池 battery
盲人 blind
董事会 board
分行 branch
刷子 brush
一堆 bunch
商业 business
忙 busy
演员表 cast
类别 category
庆祝 celebrate
链条 chain
慈善事业 charity
教堂 church
类 class
俱乐部 club
收藏 collection
学院 college
专栏 column
组合 combination
佣金 commission
提交 commit
委员会 committee
社区 community
公司 company
会议 conference
内容 content
公约 convention
核心 core
理事会 council
国家 country
情侣 couple
法庭 court
船员 crew
人群 crowd
文化 culture
数据 data
死了 dead
聋子 deaf
部门 department
残疾人 disabled
师 division
经济 economy
老人 elderly
选出 elect
鼓励 encourage
鼓励 encouraging
敌人 enemy
参与 engage
赋予 entitle
建立 establish
