程度方式3
静静地 quietly
相当 quite
迅速地 rapidly
很少 rarely
相反 rather
轻易地 readily
真的 really
合理地 reasonably
最近 recently
定期 regularly
相对地 relatively
分别 respectively
大致 roughly
其次 secondly
认真地 seriously
急剧地 sharply
不久 shortly
显着地 significantly
同样地 similarly
简单地 simply
稍微 slightly
慢慢地 slowly
不知何故 somehow
有时 sometimes
有点 somewhat
很快 soon
具体来说 specifically
强烈地 strongly
随后 subsequently
成功 successfully
突然 suddenly
当然 surely
令人惊讶地 surprisingly
可怕地 terribly
因此 therefore
虽然 though
整个 throughout
也 too
完全地 totally
确实 truly
两次 twice
最终 ultimately
在下面 underneath
不幸的是 unfortunately
通常 usually
实际上 virtually
无论在哪里 wherever
广泛地 widely
之内 within
是的 yeah
还 yet
