自然环境1
代理人 agent
景点 attraction
银行 bank
海滩 beach
芯片 chip
砍 chop
攀登 climb
云 cloud
海岸 coast
后果 consequence
裂纹 crack
当前 current
押金 deposit
拖动 drag
画 draw
地球 earth
效果 effect
电力 electricity
能源 energy
必不可少的 essential
交换 exchange
平坦 flat
洪水 flood
向前 forth
财富 fortune
地面 ground
热 heat
山 hill
洞 hole
岛 island
湖 lake
舔 lick
光 light
主要 main
仅仅 mere
移动 mobile
月亮 moon
山 mountain
必须 must
狭窄 narrow
必要的 necessary
海洋 ocean
开幕 opening
普通的 plain
行星 planet
池塘 pond
压力 pressure
雨 rain
快速 rapid
遗骸 remains
回应 response
结果 result
河 river
摇滚 rock
海 sea
片材 sheet
天空 sky
坡度 slope
抽烟 smoke
雪 snow
