行为动作1
吸收 absorb
滥用 abuse
成就 achievement
行动 action
活动 activity
行政管理 administration
入场 admission
农业 agriculture
分析 analysis
应用 application
预约 appointment
方法 approach
批准 approval
安排 arrange
逮捕 arrest
到达 arrival
作业 assignment
协助 assist
援助 assistance
附加 attach
攻击 attack
尝试 attempt
吸引 attract
奖项 award
棒球 baseball
战斗 battle
代表 behalf
最好的 best
吹 blow
无聊的 boring
呼吸 breath
爆发 burst
计算 calculation
捕获 capture
照顾 care
职业生涯 career
携带 carry
收费 charge
追逐 chase
干净 clean
关闭 closed
比较 comparison
行为 conduct
冲突 conflict
连接 connect
建筑 construction
消费 consumption
联系方式 contact
贡献 contribution
合作 cooperation
课程 course
工艺 craft
创造 creation
犯罪 crime
定制 custom
交易 deal
决定 decision
交货 delivery
示范 demonstration
出发 departure
