行为动作2
设计 design
破坏 destruction
决心 determination
发展 development
难度 difficulty
肮脏的 dirty
折扣 discount
发现 discovery
离婚 divorce
双 double
开车 drive
沉闷的 dull
职责 duty
教育 education
努力 effort
选举 election
遭遇 encounter
工程 engineering
企业 enterprise
娱乐 entertainment
错误 error
逃脱 escape
设立 establishment
邪恶 evil
考试 examination
锻炼 exercise
展览 exhibition
扩张 expansion
实验 experiment
失败 failure
公平 fair
快 fast
故障 fault
获取 fetch
战斗 fight
金融 finance
发现 finding
钓鱼 fishing
足球 football
有趣 fun
游戏 game
得到 get
一眼 glance
高尔夫 golf
听力 hearing
帮助 help
击中 hit
保持 hold
持有 holding
作业 homework
留下深刻印象 impress
检查 inspection
安装 install
互动 interaction
干预 intervention
简介 introduction
投资 investment
参与 involvement
工作 job
旅程 journey
