行为动作3
踢 kick
杀 kill
亲吻 kiss
领导力 leadership
教训 lesson
电梯 lift
维护 maintenance
管理 management
制造 manufacturing
市场 market
营销 marketing
意味着 means
测量 measure
测量 measurement
医疗 medical
错误 mistake
移动 move
运动 movement
谋杀 murder
义务 obligation
观察 observation
职业 occupation
冒犯 offence
反对派 opposition
出 out
原谅 pardon
通过 pass
通道 passage
路径 path
处罚 penalty
占有 possession
练习 practice
祈祷 prayer
准备 preparation
演示 presentation
假装 pretend
小学 primary
程序 procedure
诉讼程序 proceeding
过程 process
生产 production
进展 progress
项目 project
检控 prosecution
保护 protection
拉 pull
冲孔 punch
惩罚 punishment
购买 purchase
推 push
把 put
赛车 racing
收据 receipt
减少 reduction
改革 reform
登记 registration
修理 repair
更换 replacement
救援 rescue
研究 research
