语言交流1
上面 above
帐户 account
指责 accuse
承认 acknowledge
行动 act
广告 ad
地址 address
承认 admit
广告 advert
做广告 advertise
广告 advertisement
广告 advertising
建议 advice
建议 advise
同意 agree
协议 agreement
专辑 album
一个 an
宣布 announce
公告 announcement
回答 answer
道歉 apologize
道歉 apology
上诉 appeal
批准 approve
争论 argue
论证 argument
文章 article
放在一边 aside
问 ask
假设 assumption
保证 assure
避免 avoid
禁令 ban
基本的 basic
出价 bid
账单 bill
责备 blame
空白 blank
祝福 bless
书 book
简要 brief
再见 bye
电缆 cable
打电话 call
取消 cancel
卡通 cartoon
目录 catalogue
证书 certificate
频道 channel
章 chapter
表征 characterize
图表 chart
聊天 chat
电影院 cinema
索赔 claim
古典的 classical
线索 clue
代码 code
收集 collect
