语言交流2
命令 command
评论 comment
商业 commercial
沟通 communicate
沟通 communication
抱怨 complain
全面的 comprehensive
音乐会 concert
祝贺 congratulation
同意 consent
咨询 consult
上下文 context
合同 contract
谈话 conversation
说服 convince
复制 copy
信用 credit
标准 criterion
批评 criticism
批评 criticize
皇冠 crown
哭 cry
每日 daily
跳舞 dance
敢于 dare
数据库 database
辩论 debate
声明 declare
捍卫 defend
定义 definition
交付 deliver
需求 demand
否认 deny
描述 describe
描述 description
详细的 detailed
确定 determine
已确定 determined
日记 diary
直接 direct
目录 directory
不同意 disagree
讨论 discussion
解雇 dismiss
显示 display
争议 dispute
文件 document
占主导地位的 dominant
戏剧 drama
绘图 drawing
版本 edition
电子邮件 email
强调 emphasize
询问 enquiry
确保 ensure
条目 entry
论文 essay
准确的 exact
考试 exam
除了 except
