语言交流4
电影 movie
音乐 music
音乐剧 musical
姓名 name
消极的 negative
谈判 negotiate
谈判 negotiation
新闻 news
报纸 newspaper
不 no
点头 nod
废话 nonsense
北部 northern
注释 note
通知 notice
小说 novel
反对 objection
报价 offer
反对 oppose
对面 opposite
订单 order
页面 page
表现 performance
许可 permission
许可 permit
个人的 personal
短语 phrase
玩 play
诗 poem
诗 poetry
积极的 positive
海报 poster
赞美 praise
祈祷 pray
预测 predict
前提 premise
打印 print
继续 proceed
简介 profile
节目 programme
承诺 promise
促销 promotion
提示 prompt
提案 proposal
提议 propose
提议的 proposed
抗议 protest
规定 provision
出版 publication
宣传 publicity
问题 question
报价 quote
收音机 radio
读 read
回忆 recall
接待处 reception
食谱 recipe
推荐 recommend
推荐 recommendation
记录 record
