食物饮品
酒精 alcohol
苹果 apple
培根 bacon
豆 bean
啤酒 beer
饼干 biscuit
苦的 bitter
面包 bread
早餐 breakfast
黄油 butter
糖果 candy
奶酪 cheese
鸡 chicken
巧克力 chocolate
卡盘 chuck
咖啡 coffee
饼干 cookie
饮食 diet
晚餐 dinner
喝 drink
饲料 feed
蜂蜜 honey
冰淇淋 ice cream
果酱 jam
果汁 juice
午餐 lunch
餐 meal
肉 meat
牛奶 milk
混合 mix
橙色 orange
馅饼 pie
披萨 pizza
马铃薯 potato
生产 produce
布丁 pudding
米饭 rice
沙拉 salad
三明治 sandwich
酱汁 sauce
香肠 sausage
汤 soup
牛排 steak
草莓 strawberry
糖 sugar
晚餐 supper
茶 tea
吐司 toast
番茄 tomato
对待 treat
蔬菜 vegetable
威士忌 whisky
酒 wine
